id,title,price,category,keywords,short_desc,full_desc,images_links,images_names
1827,لعبة القطار,5.75,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة القطار مع المسار,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1827/image_1024,product_product_1827_image_1024.png
1794,طقم شاي,5.75,ألعاب,لعبة، العاب اطفالنالعاب اكواب,لعبة على شكل طقم أكواب شاي مع الصحون,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1794/image_1024,product_product_1794_image_1024.png
1745,سيارة همر,11.5,ألعاب,لعبة، ألعاب، لعبة سيارة، ألعاب سيارات,لعبة سيارة مديل همر باللون الفضي,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1745/image_1024,product_product_1745_image_1024.png
1743,سيارة رياضية,11.5,ألعاب,لعبة، ألعاب، لعبة سيارة، ألعاب سيارات,لعبة على شكل سيارة رياضية باللون الأزرق تعمل بالبطاريه,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1743/image_1024,product_product_1743_image_1024.png
1744,سيارة شرطة,5.75,ألعاب,لعبة، ألعاب، لعبة سيارة، ألعاب سيارات,سيارة شرطة موديل جيب,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1744/image_1024,product_product_1744_image_1024.png
1740,سيارة جمس,11.5,ألعاب,لعبة، ألعاب، لعبة سيارة، ألعاب سيارات,لعبة سيارة جمس موديل الثمانينات تعمل بالبطاريه,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1740/image_1024,product_product_1740_image_1024.png
1741,سيارة جيب,11.5,ألعاب,لعبة، ألعاب، لعبة سيارة، ألعاب سيارات,سيارة موديل جيب الأصلي باللون البيج,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1741/image_1024,product_product_1741_image_1024.png
1826,لعبة الغداء,5.75,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة على هيئة طعام الغداء مع أدواته,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1826/image_1024,product_product_1826_image_1024.png
1739,سيارة بن تن,11.5,ألعاب,لعبة، ألعاب، لعبة سيارة، ألعاب سيارات,سيارة باللون الأخر بثيم ben 10,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1739/image_1024,product_product_1739_image_1024.png
1742,سيارة دينا,11.5,ألعاب,لعبة، ألعاب، لعبة سيارة، ألعاب سيارات,لعبة سيارة موديل دينا تعمل بالبطارية,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1742/image_1024,product_product_1742_image_1024.png
1979,لعبة عروسه,5.75,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة على هيئة فتاة مناسبة للبنات من عمر 3 سنوات واعلى,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1979/image_1024,product_product_1979_image_1024.png
1978,لعبة عربة قطار,11.5,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة على شكل قطار بحجم متوسط,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1978/image_1024,product_product_1978_image_1024.png
1833,لعبة مكعبات تركيب,11.5,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة مكعبات للتركيب بقطع منفصلة,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1833/image_1024,product_product_1833_image_1024.png
