title,mpn,price,price_old,brand,category,images_links,الموديل,كود المنتج,العلامة التجارية,الاصدار,اللون,السعر,images_names
لعبه GHOST OF TSUSHIMA PS5 موديل SC-PS5-GHOSTDIRCUT,SC-PS5-GHOSTDIRCUT,299,,Sony,العاب الفيديو > الألعاب,https://almanea.sa//Up/Product/Large/5f4ae274-fb6d-4015-a8bc-0c715be22d45.Jpeg,SC-PS5-GHOSTDIRCUT,2250011026,سوني,SC-PS5-GHOSTDIRCUT,ابيض,299,full/2d188e5fa2912f6544bcae3dc98d38b474f510bd.jpg
لعبه Hades PS5 موديل T2-PS5-HADES,T2-PS5-HADES,139,,Sony,العاب الفيديو > الألعاب,https://almanea.sa//Up/Product/Large/061fea50-b841-4416-85d8-981d980ba838.Jpeg,T2-PS5-HADES,2250011025,سوني,T2-PS5-HADES,ابيض,139,full/54b9c4ca052ea910963073f715e56cb7a9da110d.jpg
مكيف صحراوي الجزيرة الفريد 1/3 ح DCA/13/220,DCA/13/220,1535,,Aljazierah,اجهزة التكييف > صحراوى و نقال,"https://almanea.sa//Up/Product/Large/01083e4c-8004-4483-afa1-c24e09fd545f.Jpeg
https://almanea.sa//Up/Product/Large/65b2732b-86a8-4d62-babd-39b7c299c213.Jpeg",DCA/13/220,0117027052,الجزيرة,DCA/13/220,بيج,1535,"full/d546c0a53f06449a5dee4f34c1608fa99e30fd28.jpg
full/97059ce0b8075ba59ed17b5802b101046ec6fab9.jpg"
مكيف تيرم جداري 22000 وحدة حار بارد (واي فاي) TRG24HS22WF,TRG24HS22WF,4270,4270,Terim,اجهزة التكييف > اسبليت,"https://almanea.sa//Up/Product/Large/2ceea2eb-90d0-4314-bfb5-e01c1f39b018.Jpeg
https://almanea.sa//Up/Product/Large/a9d9a5e8-bfec-4a03-ae39-1a359895b1fc.Jpeg",TRG24HS22WF,2608816031,تيرم,TRG24HS22WF,ابيض,2969,"full/09f4ba4ab7f154761dc8d0f788d0b3a03b1b4ba9.jpg
full/712af772b88a94a34bcd8052a84d9bda911c12d8.jpg"
مكيف LG فريش انفرتر 18000 حار بارد NF182H2 NK1 - NF182H2 UK1,NF182H2 NK1 - NF182H2 UK1,5169.5,5169.5,lg,اجهزة التكييف > اسبليت,"https://almanea.sa//Up/Product/Large/353b8ae3-f31d-4aec-a1db-53cd63ee56f0.Jpeg
https://almanea.sa//Up/Product/Large/0469f60d-f99c-43f9-9932-16c0b86544db.Jpeg",NF182H2 NK1 - NF182H2 UK1,2605426951,إل جي,NF182H2 NK1 - NF182H2 UK1,ابيض,3218.49,"full/dc5a9e54551fd114225d096edd2667ab68756ebc.jpg
full/d2dba996f0fc2b72f57e21b57f42dc00ae5556bc.jpg"
مكيف MTC جداري 21000 بارد توزيع رباعي MTC24CT22N,MTC24CT22N,3535,3535,mtc,اجهزة التكييف > اسبليت,"https://almanea.sa//Up/Product/Large/e6cbae38-eedc-4040-961b-f839c47bdbad.Jpeg
https://almanea.sa//Up/Product/Large/97237f1c-fac7-4b99-a03d-1816a8658b44.Jpeg
https://almanea.sa//Up/Product/Large/f630fed5-9b8f-43b9-a2fa-d261ef09de14.Jpeg
https://almanea.sa//Up/Product/Large/d26e2c78-e7a8-421a-82d0-0fe0dc8debf5.Jpeg
https://almanea.sa//Up/Product/Large/6dcd227a-a589-4985-b24f-42e580b815aa.Jpeg",MTC24CT22N,2608683030,إم تي سي,MTC24CT22N,ابيض,2784,"full/e3660737d1d8509a4893bc4cb04b4e804ecd8a70.jpg
full/257f972f74b020c7718a2261e057f7418a55e302.jpg
full/258821e09e7b17c6669adce3183468d7edc76112.jpg
full/1427ee547170eb6590332e2749bfca1497ac65da.jpg
full/e5f5ab7c18ca61100703e83fa5d79b0e3c1e7654.jpg"
مكيف صحراوي الجزيرة 1\2 ح DCA/12/220,DCA/12/220,1869,,Aljazierah,اجهزة التكييف > صحراوى و نقال,"https://almanea.sa//Up/Product/Large/8309de7f-bab2-48b0-b52c-bcd351cd8b1e.Jpeg
https://almanea.sa//Up/Product/Large/0b61c0ff-cbaa-4a97-b3cb-7ed23cbd66bd.Jpeg",DCA/12/220,0117027062,الجزيرة,DCA/12/220,بيج,1869,"full/93cbd8023f4631a6a7079ea27be4ad0622d60225.jpg
full/b8540e9c6e7653a0e3d1970f4fa3154ff940f41a.jpg"
مكيف هام جداري دايموند واي فاي 21600 بارد ريش ذهبية HM24CSO22SV,HM24CSO22SV,4085,4085,haam,اجهزة التكييف > اسبليت,"https://almanea.sa//Up/Product/Large/a8431e9d-6bd7-4405-99bf-735c28683454.Jpeg
https://almanea.sa//Up/Product/Large/68ef1289-3d9d-4dd2-a66a-25beec479955.Jpeg
https://almanea.sa//Up/Product/Large/eef653c1-e6ed-4fc8-b21f-19134c2e3dd4.Jpeg",HM24CSO22SV,2608180030,هام,HM24CSO22SV,ابيض,3034,"full/dee5b803d228a81502d7eebe8d07a810542203ab.jpg
full/5033a41438c0bb5eccc0aa342a4ef4fa852d861b.jpg
full/02596710c2d86dc986c3751326d3c2e3275a6123.jpg"
مكيف LG جرين 20000 وحدة حار بارد وطني NV242H0 NK0,NV242H0 NK0,5748.49,5748.49,lg,اجهزة التكييف > اسبليت,"https://almanea.sa//Up/Product/Large/1ae2d965-10d9-4518-8f95-8fb684c67b20.Jpeg
https://almanea.sa//Up/Product/Large/fc97d16e-c28c-47f7-a406-e053593922ad.Jpeg",NV242H0 NK0,2605426923,إل جي,NV242H0 NK0,ابيض,3619.5,"full/224baae39596e49117bd395e82fa3f1b1aff5fd1.jpg
full/1788fefe753da766f676975e909523dd5eb8e8dc.jpg"
مكيف تيرم جداري 27400 وحدة بارد (واي فاي) TRG30CS22WF,TRG30CS22WF,5669.99,5669.99,Terim,اجهزة التكييف > اسبليت,"https://almanea.sa//Up/Product/Large/d346e9cd-4b44-4bcf-9d7b-7f9aabab395f.Jpeg
https://almanea.sa//Up/Product/Large/c621c92f-308b-4191-b2a7-e3129039aa69.Jpeg",TRG30CS22WF,2608816040,تيرم,TRG30CS22WF,ابيض,4469,"full/ff253e14f285701755e67c06cff0916f3365aff1.jpg
full/f52ab7374842fb88ef37cda655a98651441c8a13.jpg"
