Id,NameAr,Name,DescriptionArSummary,TypeName,MainImageUrl,CRNumber,ActiveStatus,StampImage,Rating,RatingNum,Url,Phone,whatsapp,Email,Website,Instgram,Twiter
210343,رمز السكون,TheHemez,"همز
رمز للسكون في عالم امتلأ بالصخب",أخرى,https://maroof.sa//app/businesses/Tmp/attachment_189969.jpg,1010726290.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210343,0501063446,https://wa.me/966501063446,info@hemez.sa,https://hemez.sa/,,
210327,غذاء الجسد,,متجر الكتروني لبيع المنتجات الغذائية الصحية ,أخرى,https://maroof.sa//app/businesses/product1.jpg,4650235689.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210327,0563510127,https://wa.me/966563510127,rawyas970@gmail.com,,https://instagram.com/soyfactory_med,https://twitter.com/imzohu
210308,ايسترن ستيكرز,Eastern Stickers,"هنا في متجر ملصقات الشرق شغفنا هو تزويد الملصقات بأنواعها بجودة عالية لجميع محبي الانمي وأكثر

",أخرى,https://maroof.sa//app/businesses/Tmp/attachment_189926.jpg,1010723518.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210308,0553413046,https://wa.me/966553413046,eastern.stickers@outlook.com,https://eastern-stickers.com/,https://instagram.com/eastern.stickers,https://twitter.com/EasternStickers
210324,متجر اونزا الالكتروني,Onza Store,متجر اونزا الالكتروني لبيع القهوة بكافة انواعها الحبوب والمطحونة,أخرى,https://maroof.sa//app/businesses/Tmp/attachment_189944.jpg,4030269309.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210324,0540452102,https://wa.me/966540452102,onzastore@gmail.com,https://onzastore.com/,,
210314,رويال أوتليت,Royal Outlet,ملابس وإكسسوارات,أخرى,https://maroof.sa//app/businesses/Tmp/attachment_189935.jpg,2031107270.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210314,0539302888,,Emad-2007@hotmail.com,https://salla.sa/roual_outlet,https://instagram.com/royal_outlet0,
210329,الأجواء الذهبية ,GOLDEN SKY,حجوزات فنادق الحجر المؤسسي,أخرى,https://maroof.sa//app/businesses/product1.jpg,4030426359.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210329,0555801533,https://wa.me/966555801533,info@goldensky-ksa.com,https://dev.goldenskyksa.com/ar/packages/list/2,,
210384,كنهايب,Konhype,كنهايب متجر متخصص في المنتجات الأصلية خاصة في الأحذية مثل الـYeezys و الـJordans و تم فحص المنتجات ...,أخرى,https://maroof.sa//app/businesses/Tmp/attachment_189996.jpg,1010746437.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210384,0536900055,https://wa.me/966536900055,wekonhype@gmail.com,https://konhype.com/,https://instagram.com/konhype,
210375,آي بيرفيوم,I perfume,متجر متخصص لبيع العطور الاصلية ومستحضرات التجميل والاكسسوارات,أخرى,https://maroof.sa//app/businesses/product1.jpg,4031255773.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210375,0559227413,https://wa.me/966559227413,care@iperfumestore.com,https://iperfumestore.com/,,
210369,يونيك غزال,unique ghazelle,منتجات عطور عصرية تعبّر عن الأصالة و معنى الفخامة,أخرى,https://maroof.sa//app/businesses/Tmp/attachment_190332.jpg,1010719782.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210369,0503181778,https://wa.me/966503181778,uniqueghazelle@hotmail.com,https://uniqueghazelle.com/,,
210362,عطور ومضة,wamdaperfumes,عطور,أخرى,https://maroof.sa//app/businesses/product1.jpg,1128186256.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210362,0506655139,https://wa.me/966506655139,wamda.perfume@gmail.com,https://wamdap.com/,https://instagram.com/wamda.perfumes,
210387,عطور ام اتش,mh perfume,عطور,أخرى,https://maroof.sa//app/businesses/Tmp/attachment_193600.jpg,4031252232.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210387,0530649472,https://wa.me/966530649472,alyamanitrade@gmail.com,https://mh-perfume.com,,
210393,الريادة للتسوق,ALRIYADA SHOP,بيع منتجات متنوعة بالجملة والتجزئة,أخرى,https://maroof.sa//app/businesses/product1.jpg,4030388834.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210393,0562426246,https://wa.me/966562426246,jomouhalriyada@gmail.com,https://alriyada-shop.com.sa/,,
210304,عطر غيث,,عطورشرقية صناعة سعودية,أخرى,https://maroof.sa//app/businesses/product1.jpg,2031105969.0,0,/Content/Stamps/gold-logo.png,0.0,0,/210304,0553513924,https://wa.me/966553513924,ghith.perfumes@gmail.com,https://gaithper.com/,https://instagram.com/ghaithper,https://twitter.com/Ghaithper
